iter	Passed	Remaining
0	1	135
1	2	123
2	3	119
3	4	108
4	5	109
5	6	106
6	8	106
7	9	109
8	10	107
9	11	104
10	12	102
11	13	101
12	14	99
13	15	97
14	16	95
15	17	93
16	18	92
17	19	90
18	20	89
19	22	88
20	22	85
21	24	85
22	25	84
23	26	82
24	26	80
25	27	79
26	28	78
27	30	77
28	31	76
29	31	74
30	32	73
31	33	71
32	34	70
33	36	69
34	37	69
35	38	68
36	38	66
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	46	55
46	47	54
47	48	53
48	50	52
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	82	16
83	83	15
84	84	14
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	93	7
93	94	6
94	94	4
95	96	4
96	97	3
97	98	2
98	99	1
99	99	0
