iter	Passed	Remaining
0	1	1514
1	2	1331
2	3	1110
3	3	991
4	4	917
5	5	865
6	5	823
7	6	794
8	7	775
9	7	758
10	8	743
11	8	732
12	9	725
13	10	717
14	10	708
15	11	700
16	12	696
17	12	687
18	13	682
19	13	676
20	14	675
21	15	675
22	16	682
23	16	683
24	17	680
25	18	675
26	18	671
27	19	668
28	19	665
29	20	661
30	21	658
31	21	655
32	22	658
33	23	658
34	23	655
35	24	653
36	25	650
37	25	648
38	26	644
39	26	642
40	27	641
41	28	640
42	28	640
43	29	640
44	30	640
45	30	638
46	31	639
47	32	638
48	32	639
49	33	637
50	34	638
51	35	640
52	35	642
53	36	640
54	37	638
55	37	636
56	38	634
57	38	633
58	39	632
59	40	630
60	40	628
61	41	627
62	42	626
63	42	626
64	43	625
65	44	624
66	44	622
67	45	621
68	46	621
69	46	623
70	47	622
71	48	621
72	48	620
73	49	619
74	50	618
75	50	617
76	51	616
77	52	614
78	52	612
79	53	611
80	53	609
81	54	607
82	54	603
83	55	601
84	55	601
85	56	602
86	57	604
87	58	605
88	58	603
89	59	601
90	60	607
91	61	607
92	62	607
93	62	605
94	63	604
95	64	603
96	64	602
97	65	601
98	65	600
99	66	598
100	67	596
101	67	595
102	68	594
103	68	593
104	69	592
105	70	592
106	71	593
107	71	593
108	72	591
109	73	592
110	73	590
111	74	589
112	75	589
113	75	589
114	76	588
115	77	588
116	77	586
117	78	586
118	79	585
119	79	583
120	80	582
121	80	580
122	81	580
123	82	579
124	82	580
125	83	581
126	84	580
127	85	580
128	86	580
129	86	579
130	87	578
131	88	578
132	89	581
133	89	580
134	90	579
135	91	578
136	91	577
137	92	576
138	92	575
139	93	574
140	94	573
141	94	571
142	95	570
143	95	569
144	96	568
145	97	568
146	97	567
147	98	568
148	99	568
149	100	567
150	100	566
151	101	565
152	102	564
153	102	563
154	103	563
155	104	562
156	104	561
157	105	561
158	106	561
159	106	560
160	107	558
161	107	557
162	108	556
163	108	555
164	109	554
165	110	553
166	110	553
167	111	553
168	112	553
169	113	553
170	113	552
171	114	551
172	115	550
173	115	549
174	116	548
175	116	547
176	117	545
177	117	544
178	118	543
179	119	542
180	119	541
181	120	540
182	120	539
183	121	538
184	122	537
185	122	537
186	123	536
187	123	535
188	124	534
189	125	534
190	126	533
191	126	532
192	127	532
193	127	531
194	128	530
195	129	529
196	129	529
197	130	528
198	131	528
199	131	527
200	132	526
201	132	525
202	133	524
203	134	523
204	134	522
205	135	521
206	135	520
207	136	519
208	137	518
209	137	518
210	138	517
211	138	516
212	139	517
213	140	516
214	141	516
215	142	515
216	142	514
217	143	513
218	143	512
219	144	511
220	144	510
221	145	509
222	146	508
223	146	507
224	147	506
225	147	505
226	148	505
227	148	504
228	149	503
229	150	503
230	150	502
231	151	501
232	152	500
233	152	499
234	153	499
235	154	499
236	155	499
237	155	498
238	156	497
239	156	496
240	157	495
241	157	494
242	158	493
243	159	492
244	159	491
245	160	491
246	160	490
247	161	489
248	162	489
249	163	489
250	163	488
251	164	488
252	165	487
253	165	486
254	166	486
255	167	485
256	167	485
257	168	485
258	169	484
259	170	484
260	170	483
261	171	482
262	171	481
263	172	481
264	173	481
265	174	480
266	174	479
267	175	478
268	175	477
269	176	476
270	176	475
271	177	475
272	178	474
273	178	473
274	179	472
275	179	472
276	180	471
277	181	471
278	182	471
279	182	470
280	183	469
281	184	468
282	184	468
283	185	467
284	185	466
285	186	465
286	187	464
287	187	463
288	188	463
289	188	462
290	189	461
291	190	461
292	190	460
293	191	459
294	191	458
295	192	457
296	193	457
297	193	456
298	194	455
299	195	455
300	195	454
301	196	454
302	197	453
303	197	452
304	198	452
305	198	451
306	199	450
307	200	449
308	200	448
309	201	448
310	201	447
311	202	446
312	203	445
313	203	445
314	204	444
315	204	443
316	205	442
317	206	441
318	206	441
319	207	440
320	207	439
321	208	438
322	209	438
323	210	438
324	210	438
325	211	437
326	212	436
327	212	435
328	213	435
329	213	434
330	214	433
331	215	433
332	215	432
333	216	431
334	217	431
335	217	430
336	218	429
337	218	428
338	219	428
339	220	427
340	220	426
341	221	425
342	221	425
343	223	425
344	223	424
345	224	424
346	224	423
347	225	423
348	226	422
349	227	421
350	227	421
351	228	420
352	229	419
353	229	419
354	230	418
355	231	418
356	232	418
357	234	419
358	235	419
359	236	419
360	236	419
361	237	418
362	238	417
363	238	417
364	239	416
365	240	416
366	241	415
367	241	415
368	242	414
369	243	414
370	244	413
371	245	414
372	246	413
373	246	413
374	247	412
375	248	411
376	248	411
377	249	410
378	250	411
379	251	410
380	252	410
381	253	409
382	254	409
383	254	408
384	255	408
385	256	407
386	256	406
387	257	406
388	258	405
389	259	405
390	260	405
391	261	405
392	261	404
393	262	404
394	264	405
395	265	405
396	266	404
397	266	403
398	267	403
399	268	402
400	268	401
401	269	400
402	270	400
403	270	399
404	271	398
405	272	398
406	273	397
407	274	398
408	275	397
409	275	396
410	277	397
411	278	397
412	279	397
413	280	397
414	282	397
415	282	396
416	283	396
417	284	395
418	284	394
419	285	393
420	285	393
421	286	392
422	287	392
423	288	392
424	289	391
425	290	391
426	291	391
427	292	391
428	293	390
429	294	389
430	294	389
431	295	388
432	296	387
433	296	387
434	297	386
435	298	386
436	299	385
437	300	385
438	301	385
439	301	384
440	302	383
441	303	383
442	305	384
443	306	383
444	307	383
445	307	382
446	308	381
447	309	380
448	309	380
449	310	379
450	311	379
451	312	378
452	312	377
453	313	376
454	313	375
455	314	374
456	314	374
457	315	373
458	316	372
459	317	372
460	319	373
461	320	373
462	321	372
463	322	372
464	322	371
465	323	371
466	324	370
467	325	369
468	325	368
469	326	368
470	326	367
471	327	366
472	328	365
473	328	364
474	329	364
475	330	363
476	331	363
477	332	363
478	333	362
479	334	362
480	334	361
481	335	360
482	336	360
483	337	359
484	337	358
485	338	358
486	339	357
487	339	356
488	340	355
489	340	354
490	341	354
491	342	353
492	342	352
493	343	351
494	344	351
495	345	351
496	346	350
497	347	350
498	347	349
499	348	348
500	349	347
501	349	347
502	350	346
503	351	345
504	351	344
505	352	344
506	353	343
507	353	342
508	354	341
509	355	341
510	355	340
511	356	339
512	357	339
